"","V1","V2","V3","V4","V5","V6","V7","V8"
"164",0,0.756081518085648,0.964902612470517,0.990175466072839,0.996006494895767,0.997945734490174,0.998520544718494,1
"387",0,0.726810205766566,0.971436749785517,0.993497240141202,0.997529100514027,0.998669617985403,0.999035867708091,1
"108",0,0.469722569648923,0.757023754436931,0.899786864071611,0.952713119228166,0.975023015277406,0.984267850307577,1
"51",0,0.273840065599379,0.457441586938881,0.69951337332665,0.830977820504629,0.901191962172989,0.934133459510163,1
"246",0,0.597805973172605,0.858067818255872,0.945428018272456,0.975043671539142,0.987052042049874,0.991878419351848,1
"159",0,0.632919057589801,0.8444722347083,0.936838610925643,0.970512581676619,0.984905648526512,0.990877386525747,1
"404",0,0.815812516699618,0.980395080640725,0.995443946534559,0.998242411326793,0.999069570387935,0.99931683134466,1
"374",0,0.598499505810121,0.866446523788089,0.951483633513509,0.978310557678521,0.988186343618182,0.992609871635288,1
"330",0,0.696395297200849,0.927341406310914,0.976604305628913,0.989640265968741,0.99465521864494,0.99649692966968,1
"399",0,0.466872559210983,0.748027419026516,0.890136183204228,0.947617692675507,0.972431151641878,0.983021597044231,1
"33",0,0.662473368155237,0.903693756733194,0.967566803012851,0.986403349875075,0.992795287081697,0.995287539802796,1
"1",0,0.71999617681634,0.944539459745676,0.982341908758305,0.992618681209501,0.996109285425066,0.9973421160635,1
"368",0,0.140445534347865,0.238446515807462,0.429329681220916,0.60638160207422,0.740962199701205,0.819588585764941,1
"17",0,0.465958870793186,0.823949396606761,0.93620552794621,0.97136016942918,0.98466355075764,0.989902407457607,1
"45",0,0.384754984078763,0.647841105044019,0.835008742971693,0.921590888308469,0.958052668304385,0.973122660080313,1
"223",0,0.520614744191016,0.780834151522937,0.907899897246229,0.957371816039683,0.977822561376551,0.986067754467268,1
"253",0,0.480510131162055,0.786729827970988,0.927411986629557,0.968474161685426,0.983963905245308,0.989574862840359,1
"7",0,0.734049339652888,0.94716821569268,0.985697284534819,0.99411404360523,0.996900393612582,0.997931216401121,1
"339",0,0.415243581443628,0.764555161790821,0.920207330362794,0.966021220393176,0.98207211047733,0.98746660809731,1
"74",0,0.510395622995807,0.84438351430336,0.94056093334358,0.973801948861934,0.986425859695457,0.991081176344419,1
"131",0,0.585151407672308,0.846106207696604,0.939763282898553,0.971890874109319,0.985141632114834,0.990840944475893,1
"241",0,0.100987669435093,0.153065991449021,0.287398517356607,0.424308212916079,0.572442859815693,0.681131687670474,1
"37",0,0.636713124792249,0.889043476680139,0.959545650683773,0.981662483390711,0.990159997664649,0.993726816478903,1
"69",0,0.2974707927461,0.455846291571196,0.67279852298061,0.803417015392858,0.878893327207471,0.922506056418386,1
"256",0,0.623508120802096,0.9444163263035,0.986334442056679,0.994662775810935,0.997204859840932,0.997996618509484,1
"121",0,0.687404167791021,0.891013227415106,0.960041819615886,0.981494844176276,0.990192660580374,0.993872007973607,1
"296",0,0.580215339924574,0.826567971559993,0.929967750125286,0.967819899481858,0.983294059333488,0.989726351970063,1
"359",0,0.374672043216584,0.60224399110889,0.78788876930404,0.889190788745535,0.936981909828692,0.961281166031294,1
"279",0,0.55788129247537,0.865422502441551,0.952874721050995,0.978715748797979,0.989082056299445,0.993058864793115,1
"23",0,0.698037041392046,0.900994188762951,0.963163576314132,0.984007165669226,0.991639979937423,0.99467544143161,1
"248",0,0.107396070035785,0.190973342292555,0.379113045451766,0.543145678981126,0.663694471279877,0.757924210374934,1
"205",0,0.380868927895248,0.636493862202556,0.83479465574939,0.921492020025478,0.956255035719729,0.97064570165357,1
"180",0,0.541446713792766,0.856171342363455,0.949815635984771,0.977577512160957,0.988589024711051,0.992611962288363,1
"226",0,0.50147813221104,0.779372145128806,0.900747080196956,0.955382635381906,0.976498031106169,0.985036900159301,1
"213",0,0.695767046759599,0.935134756094162,0.979778271713087,0.991089438356551,0.995342660622671,0.996996115738684,1
"283",0,0.549810606840663,0.79742827613635,0.919195492489456,0.962328473826997,0.980454890149493,0.987606871696458,1
"250",0,0.384049501946578,0.65942668392578,0.851474614062532,0.929952382550011,0.963225555754154,0.976529144576997,1
"77",0,0.734802773954785,0.951809737752261,0.98526130776686,0.99373860952119,0.996619739899085,0.997724744320156,1
"68",0,0.607961232553519,0.82148165089348,0.928174025749892,0.966514961826232,0.982276807058313,0.988945448678919,1
"190",0,0.640149643690393,0.906334553133672,0.967811992105329,0.985767861536721,0.992544882790078,0.995043126346745,1
"315",0,0.15031836411361,0.254222900267534,0.463924265019103,0.628024031280942,0.756327455453687,0.832627993688868,1
